Country,Power_Index,defense_spending,purchasing_power_parity,coastline_coverage,border_coverage,total_aircraft_strength,tank_strength,total_naval_assets,fighter_aircraft,attack_aircraft,transport_aircraft,total_military_manpower,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,external_debt_usd,foreign_exchange_gold_reserves,total_serviceable_airports,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,waterway_coverage_km,Flag_URL,Power_Index_Rank_Gap,Power_Index_Rank,economic_assets_per_military_manpower,budget_to_gdp_ratio,Region,Alliance
Slovenia,1.9404,1782000000,1.03E+11,47,1211,40,54,3,0,0,5,7000,23,0,0,16,0,54,4636,17,18,0,3,,0,0,0,0,0,0,3,1782000000,60500000000,2832000000,42,2,8,1207,38125,4,44000,0,3863000,840902000,0,2440000,2309000,95000000,20273,710,https://www.globalfirepower.com/imgs/flags/sml/slovenia.jpg,0.0365,91,14731142.86,0.017281173,Europe,NATO
Mozambique,1.9769,480000000,51786000000,2470,4783,23,60,36,8,2,5,11200,1,0,0,7,2,60,3488,0,104,12,36,,0,0,0,0,0,0,36,480000000,8274000000,3843000000,92,11,36,4787,30562,0,42000,0,5388000000,1347000000,2.83E+12,10583000,13000,1792000000,799380,460,https://www.globalfirepower.com/imgs/flags/sml/mozambique.jpg,0.0218,92,4623750,0.009268914,Africa,None
Mongolia,1.9987,1590000000,59221000000,0,8082,8,420,0,0,0,3,35000,2,0,0,3,0,420,11040,0,500,130,0,,0,0,0,0,0,0,0,1590000000,8379000000,5508000000,37,0,318,1815,113200,15000,39000,0,0,0,0,68824000,8941000,2520000000,1564116,580,https://www.globalfirepower.com/imgs/flags/sml/mongolia.jpg,0.0674,93,1692028.571,0.026848584,Asia,None
Ireland,2.0661,1754400500,6.21E+11,1448,443,23,0,8,0,0,5,7557,8,2,0,8,0,0,3296,0,0,0,8,,0,0,0,0,0,0,8,1754400500,3.63E+12,12698000000,100,21,94,1688,102227,600,159000,0,1447000000,5280000000,9911000000,0,1341000,40000000,70273,956,https://www.globalfirepower.com/imgs/flags/sml/ireland.jpg,0.0118,94,82115125.05,0.002827198,Europe,EU
Georgia,2.0779,680000000,91849000000,310,1814,61,132,19,0,5,2,37000,10,0,0,44,11,132,5974,67,121,42,19,,0,0,0,0,0,0,31,680000000,9085000000,4447000000,21,3,26,1363,40044,300,34000,35000000,8760000,2796000000,8495000000,148000,384000,900999000,69700,0,https://www.globalfirepower.com/imgs/flags/sml/georgia.jpg,0.0498,95,2482405.405,0.007403456,Asia,None
Guatemala,2.1277,616000000,2.33E+11,400,1667,35,0,25,0,3,10,106114,0,2,0,20,0,0,3268,0,110,0,25,,0,0,0,0,0,0,20,616000000,11862000000,24412000000,58,3,9,800,17440,6000,117000,86110000,3276000,2986000,0,0,1012000,0,108889,990,https://www.globalfirepower.com/imgs/flags/sml/guatemala.jpg,0.026,96,2192670.147,0.002647492,North America,None
Uruguay,2.1537,1903440000,1.09E+11,660,1591,43,62,16,0,6,6,24000,12,5,2,12,0,62,5968,16,83,4,16,,0,0,0,0,0,0,5,1903440000,54450000000,17378000000,65,8,58,1673,77732,400,50000,0,0,86037000,0,0,8000,0,176215,1600,https://www.globalfirepower.com/imgs/flags/sml/uruguay.jpg,0.008,97,4520916.667,0.017542902,South America,None
Yemen,2.1617,405187500,18719000000,1906,1601,160,0,26,68,0,3,33350,30,0,0,59,14,0,1550,12,60,30,26,,0,0,0,0,0,1,9,405187500,6492000000,831025575,37,10,30,0,71300,15000,58000,3000000000,189432000,189432000,4.79E+11,0,27000,0,527968,0,https://www.globalfirepower.com/imgs/flags/sml/yemen.jpg,0.0072,98,561289.3553,0.021645788,Asia,None
Cameroon,2.1689,835694942,1.43E+11,400,5018,35,0,19,0,0,6,38000,6,2,0,21,0,0,860,18,52,20,19,,0,0,0,0,0,0,19,835694942,11112000000,4882000000,37,7,198,987,77589,64000,41000,200000000,2595000000,877058000,1.35E+11,0,0,0,475440,0,https://www.globalfirepower.com/imgs/flags/sml/cameroon.jpg,0.006,99,3770105.263,0.005833251,Africa,None
Tajikistan,2.1749,450460000,50370000000,0,4130,25,38,0,0,0,1,150000,4,0,0,20,6,38,6782,3,13,24,0,,0,0,0,0,0,0,0,450460000,3024000000,3026450000,19,0,0,680,30000,300,31000,12000000,18476000,85567000,5663000000,2394000,2297000,4075000000,144100,200,https://www.globalfirepower.com/imgs/flags/sml/tajikistan.jpg,0.0267,100,335800,0.008943022,Asia,CSTO
Armenia,2.2016,1480000000,60909000000,0,1570,69,109,0,4,14,3,65000,12,0,0,36,20,109,1412,104,193,100,0,,0,0,0,0,0,0,0,1480000000,6002000000,3685000000,11,0,0,686,7700,0,15000,0,0,2861000000,0,300,19000,317000000,29743,0,https://www.globalfirepower.com/imgs/flags/sml/armenia.jpg,0.03,101,937061.5385,0.024298544,Asia,CSTO
Latvia,2.2316,42000000,72516000000,498,1370,3,0,18,0,0,0,17870,0,0,0,3,0,0,3410,47,0,0,18,,0,0,0,0,0,0,11,42000000,48598440000,5141000000,55,5,83,2216,57972,2000,33000,0,0,828214000,0,0,20000,0,64589,300,https://www.globalfirepower.com/imgs/flags/sml/latvia.jpg,0.0259,102,4057974.259,0.000579183,Europe,NATO
Honduras,2.2575,612300000,71297000000,832,1575,45,22,98,6,7,10,52225,10,1,0,11,0,22,4666,0,48,0,98,,0,0,0,0,0,0,93,612300000,7785000000,8036000000,129,8,489,699,14742,20,71000,0,0,0,0,0,144000,0,112090,465,https://www.globalfirepower.com/imgs/flags/sml/honduras.jpg,0.0023,103,1365189.086,0.008588019,North America,None
Mali,2.2598,1110000000,71253000000,0,7908,44,0,0,9,12,8,40000,4,1,0,10,8,0,3717,0,50,30,0,,0,0,0,0,0,0,0,1110000000,4085000000,647800000,30,0,0,593,139107,0,46000,0,0,0,0,0,0,0,1240192,1800,https://www.globalfirepower.com/imgs/flags/sml/mali.jpg,0.0203,104,1781325,0.015578291,Africa,None
Zimbabwe,2.2801,1976800000,57391000000,0,3229,80,60,0,9,9,14,29000,20,0,0,28,6,60,1248,0,0,0,0,,0,0,0,0,0,0,0,1976800000,6671000000,484973000,144,0,0,3427,97267,800,34000,0,0,0,0,7968000,6705000,502000000,390757,0,https://www.globalfirepower.com/imgs/flags/sml/zimbabwe.jpg,0.04,105,1979000,0.034444425,Africa,None
Estonia,2.3201,2375000000,57001000000,3794,657,2,0,8,0,0,2,7700,0,0,0,0,0,0,2579,48,0,6,8,,0,0,0,0,0,0,4,2375000000,29040000000,2075000000,34,20,72,1441,89382,24000,27000,0,0,354912000,0,0,800,0,45228,335,https://www.globalfirepower.com/imgs/flags/sml/estonia.jpg,0.0051,106,7402727.273,0.041665936,Europe,NATO
Uganda,2.3252,1510000000,1.44E+11,0,2729,51,259,0,6,0,3,45000,12,0,0,30,6,259,9702,6,26,12,0,,0,0,0,0,0,0,0,1510000000,10469000000,3432750000,39,0,0,1244,20544,0,44000,2500000000,0,0,14158000000,19,0,799999000,241038,0,https://www.globalfirepower.com/imgs/flags/sml/uganda.jpg,0.0632,107,3203044.444,0.010476144,Africa,None
Ivory Coast,2.3884,18200000,2.15E+11,515,3458,22,0,8,0,0,3,22000,2,3,0,14,5,0,1328,0,4,6,8,,0,0,0,0,0,0,7,18200000,26576000000,7583484000,29,5,25,660,81996,29000,87000,100000000,2635000000,2635000000,28317000000,0,0,0,322463,980,https://www.globalfirepower.com/imgs/flags/sml/ivory-coast.jpg,0.0085,108,9773545.455,8.46E-05,Africa,None
Kyrgyzstan,2.3969,654000000,50907000000,0,4573,7,215,0,0,0,0,23000,0,0,0,7,2,215,5372,30,174,21,0,,0,0,0,0,0,0,0,654000000,3617000000,5089000000,28,0,0,424,34000,6000,31000,40000000,31026000,438000000,5663000000,3685000,4212000,28499000000,199951,576,https://www.globalfirepower.com/imgs/flags/sml/kyrgyzstan.jpg,0.046,109,2213347.826,0.012846956,Asia,CSTO
Luxembourg,2.4429,1530685000,86871000000,0,327,1,0,0,0,0,1,1200,0,0,0,0,0,0,476,0,0,0,0,,0,0,0,0,0,0,0,1530685000,5.20E+12,2789000000,3,0,147,271,2746,0,51000,0,0,594240000,0,0,34000,0,2586,37,https://www.globalfirepower.com/imgs/flags/sml/luxembourg.jpg,0.0032,110,72392500,0.017620207,Europe,None
Zambia,2.4461,385321000,79207000000,0,6043,78,75,0,0,0,13,15150,34,0,0,33,0,75,848,12,60,50,0,,0,0,0,0,0,0,0,385321000,16597000000,3017000000,120,0,2,3126,67671,0,34000,0,0,0,0,2091000,2081000,945000000,752618,0,https://www.globalfirepower.com/imgs/flags/sml/zambia.jpg,0.0105,111,5228184.818,0.004864734,Africa,None
Ghana,2.4566,954423756,2.43E+11,539,2420,18,0,20,0,0,2,15500,5,2,0,9,0,0,3648,0,6,6,20,,0,0,0,0,0,0,20,954423756,29241000000,3624000000,11,4,52,947,65725,176000,96000,660000000,3192000000,3912000000,22653000000,0,51000,0,238533,1293,https://www.globalfirepower.com/imgs/flags/sml/ghana.jpg,0.0079,112,15685419.35,0.003925667,Africa,None
South Sudan,2.4645,30700000,6752000000,0,6018,19,122,0,0,0,4,185000,0,0,0,15,6,122,2550,24,0,15,0,,0,0,0,0,0,0,0,30700000,2722500000,128248000,89,0,0,248,90200,146000,11000,3750000000,0,0,0,0,0,0,644329,0,https://www.globalfirepower.com/imgs/flags/sml/south-sudan.jpg,0.0311,113,36497.2973,0.004546801,Africa,None
North Macedonia,2.4956,421527100,43844000000,0,838,20,0,0,0,0,0,10010,10,0,0,10,4,0,1878,0,156,18,0,,0,0,0,0,0,0,0,421527100,5637000000,5252000000,13,0,0,699,15170,0,24000,0,0,274928000,0,4000000,5344000,332000000,25713,0,https://www.globalfirepower.com/imgs/flags/sml/macedonia.jpg,0.0897,114,4380019.98,0.009614248,Europe,NATO
Dominican Republic,2.5853,903000000,2.77E+11,1288,376,80,6,34,0,8,11,89000,17,1,0,49,0,6,930,0,14,0,34,,0,0,0,0,0,0,14,903000000,35044000000,13471000000,32,17,40,496,19705,0,146000,0,0,2440000000,0,0,2356000,0,48320,0,https://www.globalfirepower.com/imgs/flags/sml/dominican-republic.jpg,0.0041,115,3111056.18,0.003261294,North America,None
Nicaragua,2.5894,1311600000,52989000000,910,1253,17,186,23,0,0,5,45000,1,0,0,12,0,186,6344,0,347,151,23,,0,0,0,0,0,0,23,1311600000,6753000000,6105000000,39,5,5,0,24033,200,28000,0,0,0,0,0,0,0,130370,2220,https://www.globalfirepower.com/imgs/flags/sml/nicaragua.jpg,0.0365,116,1177533.333,0.024752307,North America,None
Republic of the Congo,2.6259,933360000,39147000000,169,5008,14,61,4,2,0,4,10000,0,0,0,8,1,61,804,3,38,30,4,,0,0,0,0,0,0,0,933360000,6360000000,715391000,56,5,11,510,23324,267000,13000,2885000000,423000000,423000000,2.84E+11,0,0,0,342000,1120,https://www.globalfirepower.com/imgs/flags/sml/republic-of-the-congo.jpg,0.0262,117,3914700,0.02384244,Africa,None
Lebanon,2.6521,800000000,65415000000,225,484,80,334,48,0,9,0,80000,9,0,0,68,0,334,6912,12,350,11,48,,0,0,0,0,0,0,42,800000000,41619000000,33301000000,8,5,51,401,21705,0,115000,0,0,0,0,0,166000,0,10400,0,https://www.globalfirepower.com/imgs/flags/sml/lebanon.jpg,0.032,118,817687.5,0.012229611,Asia,None
Eritrea,2.6841,219000000,2534000000,2234,1840,20,148,23,1,0,5,350000,1,0,0,13,6,148,1040,45,89,44,23,,0,0,0,0,0,0,18,219000000,461376000,191694000,11,2,9,306,16000,0,5000,0,0,0,0,0,0,0,117600,0,https://www.globalfirepower.com/imgs/flags/sml/eritrea.jpg,0.0026,119,7240,0.086424625,Africa,None
Niger,2.6867,488400000,47921000000,0,5834,26,0,0,0,2,7,25000,0,2,0,13,2,0,1550,0,0,0,0,,0,0,0,0,0,0,0,488400000,3793000000,1442772000,26,0,0,0,18949,13000,18000,150000000,29509000,29858000,0,427000,426000,90000000,1267000,300,https://www.globalfirepower.com/imgs/flags/sml/niger.jpg,0.0475,120,1916840,0.010191774,Africa,None
Afghanistan,2.7342,145000000,82238000000,0,5987,5,0,0,0,0,2,75000,0,0,0,3,0,0,3902,0,0,0,0,,0,0,0,0,0,0,0,145000000,1929750000,8852092000,68,0,0,0,34903,0,58000,0,80200000,80200000,49554000000,767000,503000,66000000,652230,1200,https://www.globalfirepower.com/imgs/flags/sml/afghanistan.jpg,0.0072,121,1096506.667,0.001763175,Asia,None
Namibia,2.7414,450498000,31154000000,1572,4220,36,7,15,11,0,5,17567,13,0,0,7,2,7,2402,0,50,55,15,,0,0,0,0,0,2,15,450498000,9680000000,3356000000,259,2,15,2628,48875,0,23000,0,0,0,62297000000,0,24000,350000000,824292,0,https://www.globalfirepower.com/imgs/flags/sml/namibia.jpg,0.0505,122,1773438.834,0.014460358,Africa,None
Mauritania,2.7919,270625000,33069000000,754,5002,23,51,6,0,4,7,31540,6,2,0,4,0,51,5024,0,75,0,6,,0,0,0,0,0,0,6,270625000,3072000000,2039000000,25,2,11,728,12253,0,32000,20000000,0,0,28317000000,0,0,0,1030700,1086,https://www.globalfirepower.com/imgs/flags/sml/mauritania.jpg,0.0118,123,1048478.123,0.008183646,Africa,None
Nepal,2.8037,431355326,1.50E+11,0,3159,17,0,0,0,0,7,98500,0,0,0,10,0,0,1108,0,14,0,0,,0,0,0,0,0,0,0,431355326,5719000000,12456000000,51,0,0,59,64500,0,71000,0,0,0,0,9000,1091000,8000000,147181,0,https://www.globalfirepower.com/imgs/flags/sml/nepal.jpg,0.0635,124,1519218.274,0.002882563,Asia,None
Laos,2.8672,355600000,66905000000,0,5274,29,160,51,0,0,2,100000,7,0,0,20,0,160,7725,50,97,64,51,,0,0,0,0,0,0,47,355600000,9619000000,1770000000,20,0,1,422,59647,0,25000,0,0,0,0,16629000,15944000,62000000,236800,4600,https://www.globalfirepower.com/imgs/flags/sml/laos.jpg,0.0253,125,669050,0.005314999,Asia,None
Senegal,2.8925,777800000,83183000000,531,2684,39,0,4,0,0,5,17000,22,1,0,19,5,0,1860,0,20,6,4,,0,0,0,0,0,0,4,777800000,14985000000,889295000,20,6,36,906,16665,9000,65000,0,54646000,54498000,0,0,138000,0,196722,1000,https://www.globalfirepower.com/imgs/flags/sml/senegal.jpg,0.0288,126,4893117.647,0.009350468,Africa,None
Burkina Faso,2.9213,4590000000,60001000000,0,3611,26,0,0,0,3,2,7500,0,2,0,19,5,0,876,0,8,9,0,,0,0,0,0,0,0,0,4590000000,3565000000,47138000,49,0,0,622,15304,0,37000,0,0,0,0,0,0,0,274200,0,https://www.globalfirepower.com/imgs/flags/sml/burkina-faso.jpg,0.0569,127,8000133.333,0.076498725,Africa,None
Montenegro,2.9782,204000000,17375000000,294,680,10,0,20,0,0,0,2350,0,0,0,10,0,0,946,0,12,12,20,,0,0,0,0,0,0,14,204000000,3643000000,1741000000,5,4,18,250,7762,0,9000,0,0,0,0,1862000,1658000,337000000,13812,0,https://www.globalfirepower.com/imgs/flags/sml/montenegro.jpg,0.0191,128,7393617.021,0.011741007,Europe,NATO
El Salvador,2.9973,1037200000,73961000000,307,590,51,0,13,0,15,3,25000,10,0,0,28,0,0,2144,0,76,0,13,,0,0,0,0,0,0,8,1037200000,12668000000,3705000000,27,3,5,13,9012,3,56000,0,0,226472,0,0,500,0,21041,422,https://www.globalfirepower.com/imgs/flags/sml/el-salvador.jpg,0.002,129,2958440,0.014023607,North America,None
Botswana,2.9993,581000000,45553000000,0,4347,45,45,0,10,0,9,12000,10,0,0,16,0,45,1224,12,36,20,0,,0,0,0,0,0,0,0,581000000,1761000000,3456000000,122,0,0,888,31747,0,22000,0,0,0,0,2242000,1351000,1660000000,581730,0,https://www.globalfirepower.com/imgs/flags/sml/botswana.jpg,0.0388,130,3796083.333,0.012754374,Africa,None
Madagascar,3.0381,147630000,52968000000,4828,0,6,12,7,0,0,1,13500,0,0,0,5,0,12,316,0,17,0,7,,0,0,0,0,0,0,5,147630000,3548000000,2785000000,93,13,29,836,31640,0,20000,0,0,0,0,0,472000,150000000,587040,600,https://www.globalfirepower.com/imgs/flags/sml/madagascar.jpg,0.0051,131,3923555.556,0.002787155,Africa,None
Gabon,3.0432,340950000,48045000000,885,3261,25,0,5,6,0,3,5000,0,0,0,16,0,0,424,0,4,28,5,,0,0,0,0,0,0,4,340950000,6442000000,1447000000,42,9,87,649,14300,204000,14000,2000000000,463000000,463000000,25995000000,0,0,0,267667,1600,https://www.globalfirepower.com/imgs/flags/sml/gabon.jpg,0.0859,132,9609000,0.007096472,Africa,None
Bosnia and Herzegovina,3.1291,289920000,64641000000,20,1543,15,45,0,0,0,0,18000,0,0,0,15,0,45,892,0,300,24,0,,0,0,0,0,0,0,0,289920000,5359000000,9419000000,20,1,0,965,8619,0,34000,0,0,225824000,0,12311000,12304000,2264000000,51197,990,https://www.globalfirepower.com/imgs/flags/sml/bosnia-and-herzegovina.jpg,0.2722,133,3591166.667,0.004485079,Europe,None
Iceland,3.4013,500000000,26561000000,4970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,,0,0,0,0,0,0,0,500000000,24200000000,6403000000,82,43,39,0,12905,0,19000,0,0,0,0,0,137000,0,100250,0,https://www.globalfirepower.com/imgs/flags/sml/iceland.jpg,0.0998,134,0,0.018824592,Europe,NATO
Panama,3.5011,1069750000,1.64E+11,2490,687,38,0,22,0,0,13,16300,0,2,0,23,0,0,1550,0,0,0,22,,0,0,0,0,0,0,14,1069750000,1.23E+12,6856000000,77,12,8174,77,11978,0,131000,0,0,389611000,0,0,863000,0,75420,800,https://www.globalfirepower.com/imgs/flags/sml/panama.jpg,0.1214,135,10091042.94,0.006503672,North America,None
Moldova,3.6225,114114000,39342000000,0,1885,3,0,0,0,0,1,6500,0,0,0,2,0,0,1598,4,67,11,0,,0,0,0,0,0,0,0,114114000,2637000000,5848000000,10,0,75,1171,9488,0,22000,0,10000,2344000000,0,0,90000,0,33851,558,https://www.globalfirepower.com/imgs/flags/sml/moldova.jpg,0.1168,136,6052615.385,0.002900564,Europe,None
Somalia,3.7393,870000000,26770000000,3025,2385,6,0,19,0,0,0,30000,0,0,0,6,0,0,1104,0,0,0,19,,0,0,0,0,0,0,19,870000000,2563000000,16747500,40,6,4,0,15000,0,6000,0,0,0,5663000000,0,0,0,637657,0,https://www.globalfirepower.com/imgs/flags/sml/somalia.jpg,0.0648,137,892333.3333,0.032499066,Africa,None
Kosovo,3.8041,1177450000,25019000000,0,714,0,0,0,0,0,0,4000,0,0,0,0,0,0,1357,0,0,0,0,,0,0,0,0,0,0,0,1177450000,785739000,1310000000,2,0,0,437,2248,0,16000,0,0,0,0,6924000,6931000,1564000000,10887,0,https://www.globalfirepower.com/imgs/flags/sml/kosovo.jpg,0.0922,138,6254750,0.047062233,,None
Benin,3.8963,137690000,56424000000,121,2123,7,0,2,0,0,1,4750,0,1,0,5,0,0,92,0,16,0,2,,0,0,0,0,0,0,2,137690000,6309000000,698900000,10,1,6,438,16000,0,40000,8000000,0,182131000,1133000000,0,164000,0,112622,150,https://www.globalfirepower.com/imgs/flags/sml/benin.jpg,0.0238,139,11878736.84,0.002440274,Africa,None
Sierra Leone,3.9201,450000000,26728000000,402,1093,1,0,10,0,0,0,13000,0,0,0,1,0,0,350,0,0,0,10,,0,0,0,0,0,0,10,450000000,1451000000,495699000,8,3,584,0,11701,0,9000,0,0,0,0,0,0,0,71740,800,https://www.globalfirepower.com/imgs/flags/sml/sierra-leone.jpg,0.0074,140,2056000,0.016836277,Africa,None
Liberia,3.9275,20700000,9308000000,579,1667,0,0,6,0,0,0,2100,0,0,0,0,0,0,550,0,0,0,6,,0,0,0,0,0,0,6,20700000,1335000000,599660000,19,4,4821,429,10600,0,5000,0,0,0,0,0,0,0,111369,0,https://www.globalfirepower.com/imgs/flags/sml/liberia.jpg,0.1263,141,4432380.952,0.002223893,Africa,None
Suriname,4.0538,58440000,12316000000,386,1907,3,0,17,0,0,0,2500,0,0,0,3,0,0,1250,0,0,0,17,,0,0,0,0,0,0,17,58440000,2645000000,1632000000,55,4,13,0,4304,14000,17000,89000000,7109000,6967000,0,0,0,0,163820,1200,https://www.globalfirepower.com/imgs/flags/sml/suriname.jpg,0.1843,142,4926400,0.004745047,South America,None
Central African Republic,4.2381,300000000,5926000000,0,5920,8,0,0,0,8,0,30000,0,0,0,0,0,0,270,0,0,0,0,,0,0,0,0,0,0,0,300000000,724179000,374405000,43,0,0,0,24000,0,2000,0,0,0,0,0,0,3000000,622984,2800,https://www.globalfirepower.com/imgs/flags/sml/central-african-republic.jpg,0.1221,143,197533.3333,0.050624367,Africa,None
Beliz,4.3602,34400000,5538000000,386,542,3,0,15,0,0,1,2000,0,1,0,1,0,0,164,0,0,0,15,,0,0,0,0,0,0,15,34400000,1235000000,498087000,27,2,774,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,825,https://www.globalfirepower.com/imgs/flags/sml/beliz.jpg,1.4389,144,2769000,0.006211629,,None
Bhutan,5.7991,26600000,11517000000,0,1136,2,0,0,0,0,0,16000,0,0,0,2,0,0,78,0,0,0,0,,0,0,0,0,0,0,0,26600000,2827000000,941018000,4,0,0,0,12205,0,4000,0,0,0,0,4000,105000,0,38394,0,https://www.globalfirepower.com/imgs/flags/sml/bhutan.jpg,,145,719812.5,0.002309629,Asia,None
