country,rank,power_index,active_personnel,reserve_personnel,paramilitary,fit_for_service,military_age_annually,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,defense_budget_usd,gdp_ppp_usd,forex_reserves_usd,labour_force,external_debt_usd,total_population,oil_production_bbl,proven_oil_reserves_bbl,natural_gas_production_cum
Denmark,45,PwrIndx: 0.8198,"21,000","12,000","51,000","21,26,436","77,651",122,26,19,4,36,3,0,34,0,44,"5,930",19,0,8,50,"1,21,180",0,0,0,0,9,0,9,"$                        							14,250,000,000","$                        							440,558,000,000","$                        							108,405,000,000","32,10,000","$                        							611,050,000,000","59,73,136","63,000                        						
							bbl","441,000,000                        						
							bbl","1,879,000,000                        						
							Cu.M"
Switzerland,46,PwrIndx: 0.8396,"1,47,178",0,"5,000","31,63,225","97,466",141,40,0,16,43,3,0,39,0,134,"6,885",133,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							8,372,658,426","$                        							741,035,000,000","$                        							909,366,000,000","51,53,000","$                        							2,420,000,000,000","88,60,574","300                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Ethiopia,47,PwrIndx: 0.8525,"5,03,000","1,38,000",0,"3,53,27,989","27,26,657",104,25,0,9,34,0,0,33,7,338,"8,586",142,469,79,0,N/A,0,0,0,0,0,0,0,"$                        							3,720,968,976","$                        							380,895,000,000","$                        							3,784,000,000","5,44,70,000","$                        							25,426,000,000","11,85,50,298","0                        						
							bbl","428,000                        						
							bbl","0                        						
							Cu.M"
Finland,48,PwrIndx: 0.8673,"24,000","8,70,000","53,800","19,12,981","56,264",162,53,0,11,77,1,0,27,0,200,"14,866",125,667,76,165,"19,434",0,0,0,0,0,0,8,"$                        							8,890,000,000","$                        							313,591,000,000","$                        							17,993,000,000","28,98,000","$                        							726,000,000,000","56,26,414","8,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Chile,49,PwrIndx: 0.8704,"80,000","40,000","50,000","75,21,855","2,98,634",274,45,0,33,92,18,5,86,0,386,"7,480",48,249,9,130,"1,76,065",0,0,4,0,8,0,40,"$                        							6,800,000,000","$                        							596,556,000,000","$                        							44,403,000,000","1,00,88,000","$                        							235,950,000,000","1,86,64,652","11,000                        						
							bbl","150,000,000                        						
							bbl","1,200,000,000                        						
							Cu.M"
Peru,50,PwrIndx: 0.8827,"1,20,000","3,86,000","60,000","1,26,81,497","6,19,405",252,15,22,39,68,12,0,112,16,355,"9,168",12,290,61,78,"1,71,629",0,0,6,0,7,8,13,"$                        							2,552,000,000","$                        							535,911,000,000","$                        							79,246,000,000","1,89,18,000","$                        							38,102,000,000","3,26,00,249","118,000                        						
							bbl","858,890,000                        						
							bbl","12,270,000,000                        						
							Cu.M"
Venezuela,51,PwrIndx: 0.9106,"1,09,000","8,000","2,20,000","1,28,12,625","6,25,006",224,30,0,47,75,3,1,85,10,282,"15,168",60,92,56,41,N/A,0,0,3,0,1,0,26,"$                        							6,060,000,000","$                        							110,943,000,000","$                        							9,944,750,000","1,11,36,000","$                        							121,363,000,000","3,12,50,306","801,000                        						
							bbl","303,806,000,000                        						
							bbl","17,696,000,000                        						
							Cu.M"
Romania,52,PwrIndx: 0.9558,"90,000","55,000","15,000","77,31,114","1,99,630",148,29,0,13,44,2,0,66,0,451,"13,266",0,720,243,18,N/A,0,0,0,0,3,7,0,"$                        							10,230,630,000","$                        							774,376,000,000","$                        							73,391,000,000","82,63,000","$                        							145,200,000,000","1,81,48,155","67,000                        						
							bbl","600,000,000                        						
							bbl","9,501,000,000                        						
							Cu.M"
Uzbekistan,53,PwrIndx: 0.9908,"1,20,000",0,"20,000","1,59,59,499","7,30,412",159,26,13,12,7,0,0,101,34,470,"8,692",177,236,108,0,N/A,0,0,0,0,0,0,0,"$                        							6,210,000,000","$                        							379,989,000,000","$                        							41,237,000,000","1,39,74,000","$                        							25,714,000,000","3,65,20,593","64,000                        						
							bbl","594,000,000                        						
							bbl","47,500,000,000                        						
							Cu.M"
United Arab Emirates,54,PwrIndx: 1.0188,"65,000","1,30,000","12,000","49,45,881","80,258",581,99,40,35,151,27,5,250,30,354,"8,982",165,99,49,84,"20,210",0,0,0,0,0,11,34,"$                        							23,480,000,000","$                        							745,994,000,000","$                        							237,931,000,000","70,90,000","$                        							290,400,000,000","1,00,32,213","4,146,000                        						
							bbl","97,800,000,000                        						
							bbl","56,683,000,000                        						
							Cu.M"
Czechia,55,PwrIndx: 1.0313,"30,334","4,900",0,"41,29,236","97,541",103,12,16,10,21,2,0,42,4,20,"6,275",53,0,16,0,N/A,0,0,0,0,0,0,0,"$                        							9,174,000,000","$                        							521,928,000,000","$                        							146,281,000,000","55,41,000","$                        							232,320,000,000","1,08,37,890","4,000                        						
							bbl","15,000,000                        						
							bbl","224,725,000                        						
							Cu.M"
Morocco,56,PwrIndx: 1.0368,"4,00,000","2,50,000","50,000","1,52,54,135","6,35,589",271,84,0,31,77,4,2,73,6,"1,346","17,594",544,188,185,100,N/A,0,0,0,0,6,1,84,"$                        							16,100,000,000","$                        							350,594,000,000","$                        							37,134,000,000","1,24,75,000","$                        							42,262,000,000","3,73,87,585","25                        						
							bbl","684,000                        						
							bbl","82,595,000                        						
							Cu.M"
Hungary,57,PwrIndx: 1.0429,"41,600","20,000","15,000","37,94,462","1,18,269",80,12,0,3,17,0,0,50,8,220,"11,502",24,295,0,0,N/A,0,0,0,0,0,0,0,"$                        							5,887,250,000","$                        							389,207,000,000","$                        							46,422,000,000","49,54,000","$                        							151,250,000,000","98,55,745","36,000                        						
							bbl","12,100,000                        						
							bbl","1,523,000,000                        						
							Cu.M"
Kazakhstan,58,PwrIndx: 1.0433,"1,10,000","1,35,000","55,000","69,28,922","2,83,640",168,37,13,21,25,0,0,72,12,353,"17,460",126,194,287,26,N/A,0,0,0,0,0,0,23,"$                        							5,836,386,000","$                        							739,385,000,000","$                        							45,808,000,000","1,02,85,000","$                        							25,765,000,000","2,02,60,006","1,955,000                        						
							bbl","30,000,000,000                        						
							bbl","27,011,000,000                        						
							Cu.M"
Angola,59,PwrIndx: 1.1045,"1,07,000",0,"10,000","37,20,206","3,72,021",278,67,6,32,56,2,0,115,14,319,"2,258",25,575,116,32,N/A,0,0,0,0,0,0,32,"$                        							31,200,000,000","$                        							278,239,000,000","$                        							14,243,000,000","1,59,61,000","$                        							45,299,000,000","3,72,02,061","1,175,000                        						
							bbl","7,783,000,000                        						
							bbl","5,514,000,000                        						
							Cu.M"
Azerbaijan,60,PwrIndx: 1.1991,"1,28,000","3,06,000","15,000","39,08,638","1,59,754",159,12,20,4,36,0,0,87,16,"1,354","14,448",135,651,696,32,N/A,0,0,4,0,0,0,17,"$                        							5,100,000,000","$                        							225,198,000,000","$                        							12,699,000,000","50,20,000","$                        							12,378,000,000","1,06,50,239","618,000                        						
							bbl","7,000,000,000                        						
							bbl","34,175,000,000                        						
							Cu.M"
Belgium,61,PwrIndx: 1.2201,"26,390","6,600",0,"38,80,753","1,19,776",104,44,12,7,27,0,0,14,0,0,"3,588",0,0,0,9,"10,190",0,0,0,0,2,0,2,"$                        							14,900,000,000","$                        							749,229,000,000","$                        							41,449,000,000","54,16,000","$                        							1,594,190,730,000","1,19,77,634","11,000                        						
							bbl","0                        						
							bbl","13,436,000                        						
							Cu.M"
Bulgaria,62,PwrIndx: 1.2522,"36,950","3,000",0,"26,11,324","61,044",71,11,5,6,26,0,0,23,4,334,"6,724",48,24,24,45,N/A,0,0,0,0,6,3,0,"$                        							2,485,350,000","$                        							219,645,000,000","$                        							43,698,000,000","31,24,000","$                        							14,277,000,000","67,82,659","4,000                        						
							bbl","15,000,000                        						
							bbl","20,837,000                        						
							Cu.M"
Serbia,63,PwrIndx: 1.2938,"22,500","2,000","6,00,000","25,74,406","79,827",115,11,17,3,33,0,0,51,4,242,"7,190",96,150,73,30,N/A,0,0,0,0,0,0,18,"$                        							2,770,000,000","$                        							177,093,000,000","$                        							30,484,000,000","32,30,000","$                        							21,726,000,000","66,52,212","13,000                        						
							bbl","77,500,000                        						
							bbl","353,376,000                        						
							Cu.M"
Democratic Republic of the Congo,64,PwrIndx: 1.3051,"1,66,580","30,800","10,000","3,13,89,623","25,38,867",56,0,6,10,2,0,0,38,9,212,"7,164",16,125,81,16,N/A,0,0,0,0,0,0,16,"$                        							960,000,000","$                        							164,367,000,000","$                        							3,898,125,000","3,85,46,000","$                        							7,926,000,000","11,54,03,027","19,000                        						
							bbl","180,000,000                        						
							bbl","380,000                        						
							Cu.M"
Cuba,65,PwrIndx: 1.3345,"50,000","40,000","11,45,000","47,37,328","1,42,558",20,11,0,4,3,0,0,13,4,194,"7,792",140,364,200,19,N/A,0,0,0,0,1,1,6,"$                        							3,301,500,000","$                        							81,165,000,000","$                        							10,442,000,000","4,89,000","$                        							36,372,600,000","1,09,66,038","34,000                        						
							bbl","124,000,000                        						
							bbl","659,434,000                        						
							Cu.M"
Sudan,66,PwrIndx: 1.3563,"3,00,000","2,00,000","17,500","1,71,08,407","13,12,149",183,37,36,13,33,0,0,64,35,"1,055","8,890",100,"1,150",800,10,N/A,0,0,0,0,0,0,10,"$                        							394,700,000","$                        							94,420,000,000","$                        							192,348,850","1,09,49,000","$                        							21,650,000,000","5,04,67,278","68,000                        						
							bbl","1,250,000,000                        						
							bbl","0                        						
							Cu.M"
Austria,67,PwrIndx: 1.3759,"25,000","1,25,600",0,"36,32,033","98,648",90,15,0,11,23,0,0,41,0,56,"5,160",30,0,0,0,N/A,0,0,0,0,0,0,0,"$                        							6,103,900,800","$                        							581,131,000,000","$                        							35,406,000,000","47,68,000","$                        							693,000,000,000","89,67,982","18,000                        						
							bbl","35,200,000                        						
							bbl","618,209,000                        						
							Cu.M"
Sri Lanka,68,PwrIndx: 1.3822,"3,46,000","90,000",0,"85,51,235","3,07,757",90,6,0,15,7,3,0,49,8,87,"15,021",0,96,28,275,"32,636",0,0,0,0,5,0,259,"$                        							1,500,000,000","$                        							301,407,000,000","$                        							6,094,000,000","84,99,000","$                        							42,198,000,000","2,19,82,608","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Slovakia,69,PwrIndx: 1.3911,"20,982",0,0,"23,53,424","61,200",48,7,0,7,11,1,0,22,0,45,"6,636",35,9,25,0,N/A,0,0,0,0,0,0,0,"$                        							2,900,000,000","$                        							218,762,000,000","$                        							14,452,000,000","27,79,000","$                        							140,360,000,000","55,63,649","7,000                        						
							bbl","9,000,000                        						
							bbl","52,556,000                        						
							Cu.M"
Belarus,70,PwrIndx: 1.4072,"63,000","3,65,400","55,000","37,24,569","1,04,516",194,43,50,4,27,0,0,70,31,577,"6,820",357,190,206,0,N/A,0,0,0,0,0,0,0,"$                        							1,034,784,000","$                        							265,220,000,000","$                        							8,912,000,000","48,17,000","$                        							18,010,000,000","95,01,451","30,000                        						
							bbl","198,000,000                        						
							bbl","73,929,000                        						
							Cu.M"
Qatar,71,PwrIndx: 1.4096,"26,550","4,000","5,500","4,90,001","12,760",263,115,6,12,45,0,0,85,24,62,"5,576",46,12,16,125,N/A,0,0,0,0,0,4,107,"$                        							11,950,000,000","$                        							317,064,000,000","$                        							53,987,000,000","21,23,000","$                        							205,700,000,000","25,52,088","1,818,000                        						
							bbl","25,244,000                        						
							bbl","169,595,000,000                        						
							Cu.M"
Ecuador,72,PwrIndx: 1.4479,"41,250","1,18,000","1,500","67,38,074","3,29,580",99,0,0,20,34,8,0,43,0,202,"5,322",5,106,24,30,N/A,0,0,2,0,2,6,5,"$                        							2,963,400,000","$                        							252,728,000,000","$                        							6,908,000,000","88,21,000","$                        							39,658,000,000","1,83,09,984","480,000                        						
							bbl","8,273,000,000                        						
							bbl","309,778,000                        						
							Cu.M"
Croatia,73,PwrIndx: 1.5432,"14,325","20,100","2,000","15,64,594","53,952",67,12,0,0,26,0,0,37,0,55,"4,874",25,42,42,30,N/A,0,0,0,0,0,0,11,"$                        							2,744,000,000","$                        							164,825,000,000","$                        							3,336,000,000","17,33,000","$                        							60,500,000,000","41,50,116","11,000                        						
							bbl","71,000,000                        						
							bbl","741,456,000                        						
							Cu.M"
Jordan,74,PwrIndx: 1.5581,"1,14,500","1,00,000","35,000","29,83,464","1,45,262",279,44,10,12,66,11,0,159,44,"1,508","25,278",478,80,84,27,N/A,0,0,0,0,0,0,27,"$                        							2,668,500,000","$                        							109,986,000,000","$                        							21,939,000,000","30,80,000","$                        							21,058,000,000","1,11,74,024","20                        						
							bbl","1,000,000                        						
							bbl","187,262,000                        						
							Cu.M"
Bahrain,75,PwrIndx: 1.6731,"18,400","1,10,000","1,500","7,20,768","17,236",137,28,0,3,40,0,0,66,34,150,"5,196",38,26,18,64,N/A,0,0,0,0,2,2,50,"$                        							997,015,509","$                        							93,937,000,000","$                        							4,949,000,000","9,13,300","$                        							54,450,000,000","15,66,888","190,000                        						
							bbl","186,500,000                        						
							bbl","18,005,000,000                        						
							Cu.M"
Kuwait,76,PwrIndx: 1.7161,"78,000","24,000","7,500","14,49,920","37,660",133,47,0,2,13,0,3,68,16,367,"7,472",51,0,27,123,N/A,0,0,0,0,0,0,106,"$                        							7,987,000,000","$                        							225,947,000,000","$                        							50,728,000,000","30,03,000","$                        							60,500,000,000","31,38,355","2,910,000                        						
							bbl","101,500,000,000                        						
							bbl","19,285,000,000                        						
							Cu.M"
Albania,77,PwrIndx: 1.7258,"7,500",0,500,"12,92,554","62,142",20,0,0,1,0,0,0,19,0,0,"1,492",10,0,270,33,N/A,0,0,0,0,0,0,33,"$                        							720,037,190","$                        							51,360,000,000","$                        							6,516,000,000","13,70,000","$                        							5,363,000,000","31,07,100","14,000                        						
							bbl","150,000,000                        						
							bbl","50,623,000                        						
							Cu.M"
Turkmenistan,78,PwrIndx: 1.7459,"36,500",0,"3,500","22,45,963","1,09,139",91,22,27,5,11,0,0,26,10,654,"11,588",73,457,164,16,N/A,0,0,0,0,0,0,16,"$                        							1,463,000,000","$                        							134,555,000,000","$                        							21,073,860,000","24,45,000","$                        							3,696,000,000","57,44,151","272,000                        						
							bbl","600,000,000                        						
							bbl","86,472,000,000                        						
							Cu.M"
Tunisia,79,PwrIndx: 1.7823,"89,800",0,"12,000","51,81,004","2,04,830",155,10,0,12,28,4,0,101,0,145,"13,927",0,105,0,37,N/A,0,0,0,0,1,1,30,"$                        							2,172,751,250","$                        							156,086,000,000","$                        							9,344,000,000","42,47,000","$                        							21,212,000,000","1,20,48,847","35,000                        						
							bbl","425,000,000                        						
							bbl","1,323,000,000                        						
							Cu.M"
Libya,80,PwrIndx: 1.7872,"32,000",0,"1,00,000","32,90,485","1,25,141",83,10,1,12,35,0,0,22,4,55,"2,728",20,38,25,5,N/A,0,0,0,0,1,0,2,"$                        							1,474,800,000","$                        							90,609,000,000","$                        							92,894,000,000","25,85,000","$                        							3,654,200,000","73,61,263","1,245,000                        						
							bbl","48,363,000,000                        						
							bbl","11,832,000,000                        						
							Cu.M"
Paraguay,81,PwrIndx: 1.7974,"15,650","1,68,500","14,800","30,01,497","1,50,451",49,0,4,12,14,1,0,18,0,10,"2,876",6,50,0,73,N/A,0,0,0,0,0,0,64,"$                        							416,800,000","$                        							112,919,000,000","$                        							9,886,000,000","35,02,000","$                        							13,783,000,000","75,22,549","2,000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Bolivia,82,PwrIndx: 1.8301,"40,000","40,000",0,"41,12,199","2,33,928",67,0,0,15,20,2,0,29,0,54,764,0,58,0,67,N/A,0,0,0,0,0,0,50,"$                        							467,670,000","$                        							122,200,000,000","$                        							1,977,000,000","68,59,000","$                        							11,174,000,000","1,23,11,974","58,000                        						
							bbl","240,900,000                        						
							bbl","13,760,000,000                        						
							Cu.M"
Cambodia,83,PwrIndx: 1.8434,"1,24,300",0,"10,000","57,33,393","3,07,146",24,0,0,4,0,0,0,20,0,520,"5,439",30,525,521,20,N/A,0,0,0,0,0,0,20,"$                        							750,000,000","$                        							123,676,000,000","$                        							22,506,000,000","99,04,000","$                        							8,019,000,000","1,70,63,669","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Kenya,84,PwrIndx: 1.8588,"50,000",0,"25,000","1,40,37,377","9,31,942",154,17,0,21,30,2,0,84,2,188,"9,114",18,53,0,27,N/A,0,0,0,0,0,0,18,"$                        							1,651,803,025","$                        							328,632,000,000","$                        							10,067,000,000","2,37,81,000","$                        							31,451,000,000","5,82,46,378","0                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M"
Chad,85,PwrIndx: 1.8594,"37,750",0,"5,000","38,56,906","3,81,872",40,0,7,7,8,2,0,16,3,90,"4,345",10,13,16,0,N/A,0,0,0,0,0,0,0,"$                        							706,800,000","$                        							52,895,000,000","$                        							1,050,000,000","66,00,000","$                        							2,286,000,000","1,90,93,595","124,000                        						
							bbl","1,500,000,000                        						
							bbl","0                        						
							Cu.M"
Oman,86,PwrIndx: 1.8823,"1,00,000",0,"10,000","12,91,559","50,726",128,29,10,9,45,4,0,31,0,264,"11,380",24,144,0,17,"22,490",0,0,0,0,0,5,8,"$                        							8,364,000,000","$                        							193,591,000,000","$                        							18,287,000,000","26,96,000","$                        							55,986,700,000","39,01,992","1,056,000                        						
							bbl","5,375,000,000                        						
							bbl","40,754,000,000                        						
							Cu.M"
Syria,87,PwrIndx: 1.8861,"1,00,000",0,"50,000","1,32,45,310","6,68,232",104,52,5,2,8,0,0,39,7,168,"18,736",60,0,0,12,N/A,0,0,0,0,0,0,8,"$                        							145,925,000","$                        							98,858,000,000","$                        							307,766,250","66,17,000","$                        							4,441,250,000","2,38,65,423","65,000                        						
							bbl","2,500,000,000                        						
							bbl","3,085,000,000                        						
							Cu.M"
Lithuania,88,PwrIndx: 1.8949,"23,000","1,04,000","14,150","13,32,490","36,795",9,0,0,5,0,0,0,4,0,0,"4,553",16,54,0,13,N/A,0,0,0,0,0,0,5,"$                        							5,651,760,000","$                        							136,227,000,000","$                        							7,406,000,000","15,48,000","$                        							48,400,000,000","26,28,186","4,000                        						
							bbl","12,000,000                        						
							bbl","0                        						
							Cu.M"
Tanzania,89,PwrIndx: 1.9111,"25,000",0,"6,500","66,78,750","6,07,159",38,11,0,6,6,0,0,15,0,200,"8,408",0,205,70,12,N/A,0,0,0,0,0,0,10,"$                        							1,476,113,361","$                        							246,706,000,000","$                        							5,371,525,000","3,29,83,000","$                        							17,513,000,000","6,74,62,121","0                        						
							bbl","0                        						
							bbl","1,808,000,000                        						
							Cu.M"
New Zealand,90,PwrIndx: 1.9258,"10,050","3,300",300,"17,75,457","61,935",47,0,0,7,13,6,0,21,0,0,"3,378",0,31,0,8,N/A,0,0,0,0,2,0,4,"$                        							2,455,949,332","$                        							257,117,000,000","$                        							22,065,000,000","31,24,000","$                        							230,651,410,000","51,61,211","12,000                        						
							bbl","40,993,000                        						
							bbl","3,770,000,000                        						
							Cu.M"
Slovenia,91,PwrIndx: 1.9404,"7,000","26,000","5,000","8,26,570","22,867",40,0,0,5,23,0,0,16,0,54,"4,636",17,18,0,3,N/A,0,0,0,0,0,0,3,"$                        							1,782,000,000","$                        							103,118,000,000","$                        							2,832,000,000","10,58,000","$                        							60,500,000,000","20,97,893","4                        						
							bbl","0                        						
							bbl","3,863,000                        						
							Cu.M"
Mozambique,92,PwrIndx: 1.9769,"11,200",0,"3,000","77,70,772","5,33,615",23,8,2,5,1,0,0,7,2,60,"3,488",0,104,12,36,N/A,0,0,0,0,0,0,36,"$                        							480,000,000","$                        							51,786,000,000","$                        							3,843,000,000","1,51,73,000","$                        							8,274,000,000","3,33,50,954","0                        						
							bbl","0                        						
							bbl","5,388,000,000                        						
							Cu.M"
