country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
United Arab Emirates,"$745,994,000,000 USD","$23,480,000,000 USD","5,818,684","65,000","130,000","7,000","44,000","3,000","Stock: 581			
Readiness: 349*","Stock: 40 (6.9%)

Readiness: 24*","Stock: 99 (17.0%)

Readiness: 59*","Stock: 35 (6.0%)

Readiness: 21*","Stock: 250 (43.0%)

Readiness: 150*","Stock: 27 (4.6%)

Readiness: 16*","Stock: 151 (26.0%)

Readiness: 91*","Stock: 30 (5.2%)

Readiness: 18*","Stock: 5 (0.9%)

Readiness: 3*",84,0,0,0,0,11,0,34,2,"Stock: 354				
Readiness: 212*","Stock: 8,982            	
Readiness: 5,389*","Stock: 165				
Readiness: 99*","Stock: 99				
Readiness: 59*","Stock: 49				
Readiness: 29*","$290,400,000,000 USD",1.0188
Tajikistan,"$50,370,000,000 USD","$450,460,000 USD","4,781,269","150,000","600,000","1,200","9,000",0,"Stock: 25			
Readiness: 14*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (4.0%)

Readiness: 1*","Stock: 20 (80.0%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (16.0%)

Readiness: 2*","Stock: 6 (24.0%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 38				
Readiness: 23*","Stock: 6,782            	
Readiness: 4,069*","Stock: 3				
Readiness: 2*","Stock: 13				
Readiness: 8*","Stock: 24				
Readiness: 14*","$3,024,000,000 USD",2.1749
Egypt,"$1,958,000,000,000 USD","$5,193,500,000 USD","45,611,372","438,500","479,000","50,000","685,000","50,000","Stock: 1,088			
Readiness: 707*","Stock: 90 (8.3%)

Readiness: 59*","Stock: 242 (22.2%)

Readiness: 157*","Stock: 53 (4.9%)

Readiness: 34*","Stock: 348 (32.0%)

Readiness: 226*","Stock: 11 (1.0%)

Readiness: 7*","Stock: 344 (31.6%)

Readiness: 224*","Stock: 100 (9.2%)

Readiness: 65*","Stock: 0 (0.0%)

Readiness: 0*",149,0,2,0,13,7,8,61,17,"Stock: 3,620				
Readiness: 2,534*","Stock: 54,694            	
Readiness: 38,286*","Stock: 1,056				
Readiness: 739*","Stock: 962				
Readiness: 673*","Stock: 648				
Readiness: 454*","$117,272,000,000 USD",0.3651
Mozambique,"$51,786,000,000 USD","$480,000,000 USD","14,674,420","11,200",0,"4,000","11,200","1,000","Stock: 23			
Readiness: 12*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 8 (34.8%)

Readiness: 4*","Stock: 5 (21.7%)

Readiness: 3*","Stock: 7 (30.4%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (4.3%)

Readiness: 1*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",36,0,0,0,0,0,0,36,0,"Stock: 60				
Readiness: 30*","Stock: 3,488            	
Readiness: 1,744*","Stock: 0				
Readiness: 0*","Stock: 104				
Readiness: 52*","Stock: 12				
Readiness: 6*","$8,274,000,000 USD",1.9769
Belarus,"$265,220,000,000 USD","$1,034,784,000 USD","5,035,769","63,000","365,400","11,300","18,000",0,"Stock: 194			
Readiness: 107*","Stock: 50 (25.8%)

Readiness: 28*","Stock: 43 (22.2%)

Readiness: 24*","Stock: 4 (2.1%)

Readiness: 2*","Stock: 70 (36.1%)

Readiness: 39*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 27 (13.9%)

Readiness: 15*","Stock: 31 (16.0%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 577				
Readiness: 375*","Stock: 6,820            	
Readiness: 4,433*","Stock: 357				
Readiness: 232*","Stock: 190				
Readiness: 124*","Stock: 206				
Readiness: 134*","$18,010,000,000 USD",1.4072
Canada,"$2,341,000,000,000 USD","$45,824,959,620 USD","16,681,770","63,500","23,000","15,560","49,300","16,300","Stock: 354			
Readiness: 266*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 66 (18.6%)

Readiness: 50*","Stock: 29 (8.2%)

Readiness: 22*","Stock: 146 (41.2%)

Readiness: 110*","Stock: 34 (9.6%)

Readiness: 26*","Stock: 95 (26.8%)

Readiness: 71*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (1.7%)

Readiness: 5*",67,0,0,0,12,0,4,17,0,"Stock: 74				
Readiness: 56*","Stock: 21,780            	
Readiness: 16,335*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$2,571,113,270,000 USD",0.5269
Sri Lanka,"$301,407,000,000 USD","$1,500,000,000 USD","10,551,652","346,000","90,000","26,000","150,000","40,000","Stock: 90			
Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (6.7%)

Readiness: 3*","Stock: 15 (16.7%)

Readiness: 8*","Stock: 49 (54.4%)

Readiness: 27*","Stock: 3 (3.3%)

Readiness: 2*","Stock: 7 (7.8%)

Readiness: 4*","Stock: 8 (8.9%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",275,0,0,0,5,0,0,259,0,"Stock: 87				
Readiness: 52*","Stock: 15,021            	
Readiness: 9,013*","Stock: 0				
Readiness: 0*","Stock: 96				
Readiness: 58*","Stock: 28				
Readiness: 17*","$42,198,000,000 USD",1.3822
Italy,"$3,133,000,000,000 USD","$37,325,165,000 USD","27,434,219","165,500","18,300","43,000","97,755","30,000","Stock: 714			
Readiness: 500*","Stock: 65 (9.1%)

Readiness: 46*","Stock: 88 (12.3%)

Readiness: 62*","Stock: 31 (4.3%)

Readiness: 22*","Stock: 352 (49.3%)

Readiness: 246*","Stock: 22 (3.1%)

Readiness: 15*","Stock: 152 (21.3%)

Readiness: 106*","Stock: 37 (5.2%)

Readiness: 26*","Stock: 8 (1.1%)

Readiness: 6*",285,2,0,3,14,0,8,15,10,"Stock: 203				
Readiness: 142*","Stock: 87,364            	
Readiness: 61,155*","Stock: 64				
Readiness: 45*","Stock: 108				
Readiness: 76*","Stock: 21				
Readiness: 15*","$3,025,000,000,000 USD",0.2211
Luxembourg,"$86,871,000,000 USD","$1,530,685,000 USD","154,388","1,200",0,0,"1,200",0,"Stock: 1			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 476            	
Readiness: 309*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$5,203,000,000,000 USD",2.4429
Madagascar,"$52,968,000,000 USD","$147,630,000 USD","11,192,031","13,500",0,300,"21,600",500,"Stock: 6			
Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (16.7%)

Readiness: 1*","Stock: 5 (83.3%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",7,0,0,0,0,0,0,5,0,"Stock: 12				
Readiness: 7*","Stock: 316            	
Readiness: 174*","Stock: 0				
Readiness: 0*","Stock: 17				
Readiness: 9*","Stock: 0				
Readiness: 0*","$3,548,000,000 USD",3.0381
Tunisia,"$156,086,000,000 USD","$2,172,751,250 USD","6,024,424","89,800",0,"4,500","150,000","5,000","Stock: 155			
Readiness: 93*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (6.5%)

Readiness: 6*","Stock: 12 (7.7%)

Readiness: 7*","Stock: 101 (65.2%)

Readiness: 61*","Stock: 4 (2.6%)

Readiness: 2*","Stock: 28 (18.1%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",37,0,0,0,1,1,0,30,0,"Stock: 145				
Readiness: 87*","Stock: 13,927            	
Readiness: 8,356*","Stock: 0				
Readiness: 0*","Stock: 105				
Readiness: 63*","Stock: 0				
Readiness: 0*","$21,212,000,000 USD",1.7823
Colombia,"$978,024,000,000 USD","$15,800,000,000 USD","24,298,295","429,000","998,000","25,000","2,048,583","35,100","Stock: 430			
Readiness: 280*","Stock: 24 (5.6%)

Readiness: 16*","Stock: 16 (3.7%)

Readiness: 10*","Stock: 82 (19.1%)

Readiness: 53*","Stock: 255 (59.3%)

Readiness: 166*","Stock: 27 (6.3%)

Readiness: 18*","Stock: 72 (16.7%)

Readiness: 47*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (0.2%)

Readiness: 1*",213,0,0,0,9,2,4,158,0,"Stock: 0				
Readiness: 0*","Stock: 12,780            	
Readiness: 8,307*","Stock: 6				
Readiness: 4*","Stock: 110				
Readiness: 72*","Stock: 0				
Readiness: 0*","$108,027,000,000 USD",0.7551
Bolivia,"$122,200,000,000 USD","$467,670,000 USD","5,417,269","40,000","40,000","10,000","43,000","4,500","Stock: 67			
Readiness: 37*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (22.4%)

Readiness: 8*","Stock: 29 (43.3%)

Readiness: 16*","Stock: 2 (3.0%)

Readiness: 1*","Stock: 20 (29.9%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 54				
Readiness: 30*","Stock: 764            	
Readiness: 420*","Stock: 0				
Readiness: 0*","Stock: 58				
Readiness: 32*","Stock: 0				
Readiness: 0*","$11,174,000,000 USD",1.8301
Latvia,"$72,516,000,000 USD","$42,000,000 USD","810,561","17,870","38,000",250,"55,870","1,000","Stock: 3			
Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (100.0%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",18,0,0,0,0,0,0,11,6,"Stock: 0				
Readiness: 0*","Stock: 3,410            	
Readiness: 2,217*","Stock: 47				
Readiness: 31*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$48,598,440,000 USD",2.2316
Saudi Arabia,"$2,213,000,000,000 USD","$63,988,055,520 USD","19,003,104","247,000",0,"30,000","75,000","13,500","Stock: 917			
Readiness: 596*","Stock: 81 (8.8%)

Readiness: 53*","Stock: 283 (30.9%)

Readiness: 184*","Stock: 49 (5.3%)

Readiness: 32*","Stock: 264 (28.8%)

Readiness: 172*","Stock: 16 (1.7%)

Readiness: 10*","Stock: 202 (22.0%)

Readiness: 131*","Stock: 34 (3.7%)

Readiness: 22*","Stock: 22 (2.4%)

Readiness: 14*",32,0,0,0,7,9,0,9,3,"Stock: 1,085				
Readiness: 705*","Stock: 22,370            	
Readiness: 14,541*","Stock: 380				
Readiness: 247*","Stock: 557				
Readiness: 362*","Stock: 327				
Readiness: 213*","$248,171,000,000 USD",0.4473
Kosovo,"$25,019,000,000 USD","$1,177,450,000 USD","917,371","4,000","5,000",0,"9,000",0,"Stock: 0			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 1,357            	
Readiness: 746*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$785,739,000 USD",3.8041
Portugal,"$556,942,000,000 USD","$6,760,000,000 USD","5,319,863","25,000","23,500","6,000","12,000","7,000","Stock: 128			
Readiness: 90*","Stock: 5 (3.9%)

Readiness: 4*","Stock: 28 (21.9%)

Readiness: 20*","Stock: 20 (15.6%)

Readiness: 14*","Stock: 36 (28.1%)

Readiness: 25*","Stock: 16 (12.5%)

Readiness: 11*","Stock: 23 (18.0%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.1%)

Readiness: 3*",128,0,0,0,5,2,2,71,0,"Stock: 34				
Readiness: 24*","Stock: 10,419            	
Readiness: 7,293*","Stock: 23				
Readiness: 16*","Stock: 54				
Readiness: 38*","Stock: 0				
Readiness: 0*","$530,000,000,000 USD",0.6659
United Kingdom,"$3,636,000,000,000 USD","$88,526,529,585 USD","31,491,165","141,330","31,940","34,800","108,413","37,890","Stock: 625			
Readiness: 406*","Stock: 38 (6.1%)

Readiness: 25*","Stock: 103 (16.5%)

Readiness: 67*","Stock: 30 (4.8%)

Readiness: 20*","Stock: 262 (41.9%)

Readiness: 170*","Stock: 29 (4.6%)

Readiness: 19*","Stock: 201 (32.2%)

Readiness: 131*","Stock: 50 (8.0%)

Readiness: 33*","Stock: 9 (1.4%)

Readiness: 6*",116,2,0,6,7,0,10,26,8,"Stock: 288				
Readiness: 187*","Stock: 94,064            	
Readiness: 61,142*","Stock: 14				
Readiness: 9*","Stock: 126				
Readiness: 82*","Stock: 43				
Readiness: 28*","$10,553,123,900,000 USD",0.1881
Armenia,"$60,909,000,000 USD","$1,480,000,000 USD","1,666,988","65,000","210,000","5,000","65,000",0,"Stock: 69			
Readiness: 35*","Stock: 14 (20.3%)

Readiness: 7*","Stock: 4 (5.8%)

Readiness: 2*","Stock: 3 (4.3%)

Readiness: 2*","Stock: 36 (52.2%)

Readiness: 18*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (17.4%)

Readiness: 6*","Stock: 20 (29.0%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 109				
Readiness: 60*","Stock: 1,412            	
Readiness: 777*","Stock: 104				
Readiness: 57*","Stock: 193				
Readiness: 106*","Stock: 100				
Readiness: 55*","$6,002,000,000 USD",2.2016
Ivory Coast,"$215,018,000,000 USD","$18,200,000 USD","12,292,521","22,000",0,460,"22,000","1,000","Stock: 22			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (13.6%)

Readiness: 1*","Stock: 14 (63.6%)

Readiness: 6*","Stock: 3 (13.6%)

Readiness: 1*","Stock: 2 (9.1%)

Readiness: 1*","Stock: 5 (22.7%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",8,0,0,0,0,0,0,7,0,"Stock: 0				
Readiness: 0*","Stock: 1,328            	
Readiness: 664*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 2*","Stock: 6				
Readiness: 3*","$26,576,000,000 USD",2.3884
Nigeria,"$1,318,000,000,000 USD","$3,900,000,000 USD","125,475,979","230,000",0,"18,000","1,960,000","11,000","Stock: 159			
Readiness: 87*","Stock: 24 (15.1%)

Readiness: 13*","Stock: 14 (8.8%)

Readiness: 8*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 69 (43.4%)

Readiness: 38*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 28 (17.6%)

Readiness: 15*","Stock: 15 (9.4%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*",152,0,0,0,1,0,0,132,2,"Stock: 330				
Readiness: 182*","Stock: 12,219            	
Readiness: 6,720*","Stock: 40				
Readiness: 22*","Stock: 339				
Readiness: 186*","Stock: 37				
Readiness: 20*","$45,009,000,000 USD",0.6097
Uzbekistan,"$379,989,000,000 USD","$6,210,000,000 USD","18,990,708","120,000",0,"15,000","95,000",550,"Stock: 159			
Readiness: 87*","Stock: 13 (8.2%)

Readiness: 7*","Stock: 26 (16.4%)

Readiness: 14*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 101 (63.5%)

Readiness: 56*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (4.4%)

Readiness: 4*","Stock: 34 (21.4%)

Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*",0,0,0,0,0,0,0,0,0,"Stock: 470				
Readiness: 259*","Stock: 8,692            	
Readiness: 4,781*","Stock: 177				
Readiness: 97*","Stock: 236				
Readiness: 130*","Stock: 108				
Readiness: 59*","$25,714,000,000 USD",0.9908
China,"$33,598,000,000,000 USD","$303,000,000,000 USD","764,123,366","2,035,000","510,000","403,000","2,545,000","384,000","Stock: 3,529			
Readiness: 2,647*","Stock: 371 (10.5%)

Readiness: 278*","Stock: 1,443 (40.9%)

Readiness: 1,082*","Stock: 287 (8.1%)

Readiness: 215*","Stock: 1,007 (28.5%)

Readiness: 755*","Stock: 105 (3.0%)

Readiness: 79*","Stock: 401 (11.4%)

Readiness: 301*","Stock: 281 (8.0%)

Readiness: 211*","Stock: 9 (0.3%)

Readiness: 7*",841,3,4,53,46,50,61,150,36,"Stock: 5,870				
Readiness: 4,696*","Stock: 152,040            	
Readiness: 121,632*","Stock: 2,940				
Readiness: 2,352*","Stock: 1,400				
Readiness: 1,120*","Stock: 2,770				
Readiness: 2,216*","$488,114,000,000 USD",0.0919
Kenya,"$328,632,000,000 USD","$1,651,803,025 USD","21,551,160","50,000",0,"4,175","50,000","2,500","Stock: 154			
Readiness: 85*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 17 (11.0%)

Readiness: 9*","Stock: 21 (13.6%)

Readiness: 12*","Stock: 84 (54.5%)

Readiness: 46*","Stock: 2 (1.3%)

Readiness: 1*","Stock: 30 (19.5%)

Readiness: 17*","Stock: 2 (1.3%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",27,0,0,0,0,0,0,18,0,"Stock: 188				
Readiness: 103*","Stock: 9,114            	
Readiness: 5,013*","Stock: 18				
Readiness: 10*","Stock: 53				
Readiness: 29*","Stock: 0				
Readiness: 0*","$31,451,000,000 USD",1.8588
Kazakhstan,"$739,385,000,000 USD","$5,836,386,000 USD","9,117,003","110,000","135,000","12,000","80,000","3,000","Stock: 168			
Readiness: 101*","Stock: 13 (7.7%)

Readiness: 8*","Stock: 37 (22.0%)

Readiness: 22*","Stock: 21 (12.5%)

Readiness: 13*","Stock: 72 (42.9%)

Readiness: 43*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 25 (14.9%)

Readiness: 15*","Stock: 12 (7.1%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*",26,0,0,0,0,0,0,23,2,"Stock: 353				
Readiness: 212*","Stock: 17,460            	
Readiness: 10,476*","Stock: 126				
Readiness: 76*","Stock: 194				
Readiness: 116*","Stock: 287				
Readiness: 172*","$25,765,000,000 USD",1.0433
Bangladesh,"$1,473,000,000,000 USD","$3,340,000,000 USD","82,661,620","204,000",0,"19,000","173,408","22,000","Stock: 212			
Readiness: 138*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 41 (19.3%)

Readiness: 27*","Stock: 17 (8.0%)

Readiness: 11*","Stock: 67 (31.6%)

Readiness: 44*","Stock: 4 (1.9%)

Readiness: 3*","Stock: 83 (39.2%)

Readiness: 54*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",121,0,0,0,7,6,2,61,5,"Stock: 320				
Readiness: 224*","Stock: 11,584            	
Readiness: 8,109*","Stock: 36				
Readiness: 25*","Stock: 487				
Readiness: 341*","Stock: 103				
Readiness: 72*","$58,020,000,000 USD",0.6517
Namibia,"$31,154,000,000 USD","$450,498,000 USD","616,805","17,567",0,"1,175","8,500","3,000","Stock: 36			
Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (30.6%)

Readiness: 5*","Stock: 5 (13.9%)

Readiness: 2*","Stock: 7 (19.4%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (36.1%)

Readiness: 6*","Stock: 2 (5.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",15,0,0,0,0,2,0,15,0,"Stock: 7				
Readiness: 4*","Stock: 2,402            	
Readiness: 1,201*","Stock: 0				
Readiness: 0*","Stock: 50				
Readiness: 25*","Stock: 55				
Readiness: 28*","$9,680,000,000 USD",2.7414
Australia,"$1,635,000,000,000 USD","$57,350,000,000 USD","11,242,811","58,910","33,270","21,584","44,235","20,607","Stock: 348			
Readiness: 261*","Stock: 71 (20.4%)

Readiness: 53*","Stock: 24 (6.9%)

Readiness: 18*","Stock: 37 (10.6%)

Readiness: 28*","Stock: 72 (20.7%)

Readiness: 54*","Stock: 31 (8.9%)

Readiness: 23*","Stock: 107 (30.7%)

Readiness: 80*","Stock: 22 (6.3%)

Readiness: 17*","Stock: 6 (1.7%)

Readiness: 5*",45,0,2,3,7,0,6,13,3,"Stock: 46				
Readiness: 35*","Stock: 17,118            	
Readiness: 12,839*","Stock: 0				
Readiness: 0*","Stock: 48				
Readiness: 36*","Stock: 8				
Readiness: 6*","$3,770,254,730,000 USD",0.3208
Yemen,"$18,719,000,000 USD","$405,187,500 USD","12,213,368","33,350",0,"3,850","56,350","3,250","Stock: 160			
Readiness: 64*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 68 (42.5%)

Readiness: 27*","Stock: 3 (1.9%)

Readiness: 1*","Stock: 59 (36.9%)

Readiness: 24*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 30 (18.8%)

Readiness: 12*","Stock: 14 (8.8%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*",26,0,0,0,0,1,0,9,0,"Stock: 0				
Readiness: 0*","Stock: 1,550            	
Readiness: 775*","Stock: 12				
Readiness: 6*","Stock: 60				
Readiness: 30*","Stock: 30				
Readiness: 15*","$6,492,000,000 USD",2.1617
